#########################################################################################################
# Fit coefficients on mass-radius relationships.
#
# Each mass-radius relationship is fitted by a function of the form :
#   log10(Rp/R_Earth) = a*log10(Mp/M_Earth) + exp(-d*(log10(Mp/M_Earth)+c)) + b
#
# Fits are performed only for cases where errcode=0
#
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# a,b,c,d : coefficients of the fits
# number : out of 20 masses, how many have errcode=0
# MAE : Mean Average Error (in %)
# max error : greatest error (in %) between one point and the fitted function
# loc : location of the point with the greatest error
#
# 2024 update:
# mass_low: lower limit in mass (units of M_e) on the validity range of the fit (lowest valid point)
# mass_up: upper limit in mass (units of M_e) on the validity range of the fit (upper valid point)
#
#########################################################################################################
#
#   x_core'    x_H2O     t_irr                a                b                d                c  number         MAE   max error     loc    mass_low     mass_up
   0.00000   0.10000    400.00   0.228816358360   0.115872015501   2.716558812517   1.044312814782      17    0.060867     0.19485       5    0.415050   19.994052
   0.00000   0.20000    400.00   0.218338793049   0.147897612247   2.838332819558   0.950420612995      16    0.040612     0.13915       6    0.528858   19.994167
   0.00000   0.30000    400.00   0.213224837933   0.169220854082   2.770989779156   0.915710207697      15    0.048396     0.19355       7    0.674037   19.996000
   0.00000   0.40000    400.00   0.209658601548   0.186446843586   2.669626364228   0.899903529011      14    0.034241    0.065536      10    0.858468   19.996666
   0.00000   0.50000    400.00   0.204607074497   0.204789060233   2.711023812258   0.853476673302      14    0.040102     0.14082       8    0.858905   19.998737
   0.00000   0.60000    400.00   0.201078838173   0.219890945807   2.658916051800   0.838970929176      13    0.044795    0.070325      20    1.093703   19.992353
   0.00000   0.70000    400.00   0.195540366827   0.237770917450   2.748289425114   0.791191330391      13    0.034518    0.095463      11    1.094305   19.995638
   0.00000   0.80000    400.00   0.192312344654   0.251319722117   2.684444950369   0.785102958299      12     0.02838    0.085224      11    1.393959   19.984998
   0.00000   0.90000    400.00   0.187583341711   0.267519758282   2.769722591943   0.738279252450      12    0.028016    0.053024      12    1.394507   19.981883
   0.00000   1.00000    400.00   0.183937966640   0.282211819562   2.797308941736   0.704831238707      12    0.035423    0.077723      12    1.394634   19.995371
   0.00000   0.10000    500.00   0.223380800036   0.124684811104   2.858439362843   0.937893903586      17    0.065625     0.18626       5    0.415203   19.992268
   0.00000   0.20000    500.00   0.214091765982   0.155734794759   2.918801073029   0.856091201658      16    0.047441     0.10683      16    0.529345   19.991405
