#Met Age[Gyr]   Teq[K] Mass[Me] f_env[%]    R_RCB[Re] R_20mbar[Re]  R_1nbar[Re] err_code
   1     0.10   278.00    20.00    20.00     5.710000     5.970000    6.300000        0
   1     0.10   494.36     1.00     0.10     1.130000     2.261438   20.873226        1
   1     0.10   494.36     1.00     0.20     1.250000     2.721340  216.981555        1
   1     0.10   494.36     1.00     0.50     1.430000     4.451496  263.379572        1
   1     0.10   494.36     1.00     1.00     1.630000     6.467571  319.406907        1
   1     0.10   494.36     1.00     2.00     1.890000    26.571971  399.283079        1
   1     0.10   494.36     1.00     5.00     2.390000   302.515970  575.261017        1
   1     0.10   494.36     1.00    10.00     2.970000   395.084420  816.270461        1
   1     0.10   494.36     1.00    20.00     4.130000   602.665017 1417.108916        1
   1     0.10   494.36     2.00     0.10     1.400000     1.950000    3.110000        0
   1     0.10   494.36     2.00     0.20     1.500000     2.160000    3.690000        0
   1     0.10   494.36     2.00     0.50     1.700000     2.630000    5.300000        0
   1     0.10   494.36     2.00     1.00     1.930000     3.210814    8.217470        1
   1     0.10   494.36     2.00     2.00     2.260000     4.319169   25.425003        1
   1     0.10   494.36     2.00     5.00     2.990000     8.413299  562.143775        1
   1     0.10   494.36     2.00    10.00     3.910000    22.346408  840.991426        1
   1     0.10   494.36     2.00    20.00     5.350000   694.134631 1377.477456        1
   1     0.10   494.36     3.00     0.10     1.560000     1.950000    2.590000        0
   1     0.10   494.36     3.00     0.20     1.660000     2.120000    2.900000        0
   1     0.10   494.36     3.00     0.50     1.870000     2.460000    3.590000        0
   1     0.10   494.36     3.00     1.00     2.080000     2.860000    4.480000        0
   1     0.10   494.36     3.00     2.00     2.400000     3.520000    6.370000        0
   1     0.10   494.36     3.00     5.00     3.140000     5.422542   16.828842        1
   1     0.10   494.36     3.00    10.00     4.150000     8.884482  752.952496        1
   1     0.10   494.36     3.00    20.00     5.850000    19.623347 1256.538935        1
   1     0.10   494.36     4.00     0.10     1.670000     1.990000    2.450000        0
   1     0.10   494.36     4.00     0.20     1.790000     2.150000    2.700000        0
   1     0.10   494.36     4.00     0.50     1.980000     2.430000    3.150000        0
   1     0.10   494.36     4.00     1.00     2.180000     2.750000    3.720000        0
   1     0.10   494.36     4.00     2.00     2.500000     3.280000    4.760000        0
   1     0.10   494.36     4.00     5.00     3.220000     4.660000    8.180000        0
   1     0.10   494.36     4.00    10.00     4.210000     6.870090   17.886711        1
   1     0.10   494.36     4.00    20.00     5.900000    11.737825 1102.300467        1
   1     0.10   494.36     5.00     0.10     1.780000     2.050000    2.420000        0
   1     0.10   494.36     5.00     0.20     1.890000     2.190000    2.620000        0
   1     0.10   494.36     5.00     0.50     2.060000     2.430000    2.980000        0
   1     0.10   494.36     5.00     1.00     2.270000     2.720000    3.430000        0
   1     0.10   494.36     5.00     2.00     2.580000     3.190000    4.190000        0
   1     0.10   494.36     5.00     5.00     3.280000     4.330000    6.340000        0
   1     0.10   494.36     5.00    10.00     4.230000     6.050000   10.550000        0
   1     0.10   494.36     5.00    20.00     5.850000     9.410065   24.010329        1
   1     0.10   494.36     6.00     0.10     1.870000     2.100000    2.420000        0
   1     0.10   494.36     6.00     0.20     1.970000     2.230000    2.590000        0
   1     0.10   494.36     6.00     0.50     2.140000     2.450000    2.900000        0
   1     0.10   494.36     6.00     1.00     2.340000     2.720000    3.290000        0
   1     0.10   494.36     6.00     2.00     2.650000     3.140000    3.910000        0
   1     0.10   494.36     6.00     5.00     3.330000     4.150000    5.560000        0
   1     0.10   494.36     6.00    10.00     4.240000     5.610000    8.330000        0
   1     0.10   494.36     6.00    20.00     5.790000     8.290000   14.720000        0
   1     0.10   494.36     8.00     0.10     2.010000     2.190000    2.450000        0
   1     0.10   494.36     8.00     0.20     2.100000     2.300000    2.590000        0
   1     0.10   494.36     8.00     0.50     2.270000     2.510000    2.850000        0
   1     0.10   494.36     8.00     1.00     2.460000     2.760000    3.170000        0
   1     0.10   494.36     8.00     2.00     2.760000     3.130000    3.670000        0
   1     0.10   494.36     8.00     5.00     3.410000     3.990000    4.870000        0
   1     0.10   494.36     8.00    10.00     4.270000     5.170000    6.660000        0
   1     0.10   494.36     8.00    20.00     5.710000     7.230000   10.070000        0
   1     0.10   494.36    10.00     0.10     2.120000     2.280000    2.490000        0
   1     0.10   494.36    10.00     0.20     2.200000     2.380000    2.610000        0
   1     0.10   494.36    10.00     0.50     2.370000     2.570000    2.850000        0
   1     0.10   494.36    10.00     1.00     2.560000     2.800000    3.130000        0
   1     0.10   494.36    10.00     2.00     2.850000     3.150000    3.570000        0
   1     0.10   494.36    10.00     5.00     3.480000     3.930000    4.580000        0
   1     0.10   494.36    10.00    10.00     4.300000     4.970000    6.000000        0
   1     0.10   494.36    10.00    20.00     5.650000     6.740000    8.510000        0
   1     0.10   494.36    13.00     0.10     2.250000     2.380000    2.560000        0
   1     0.10   494.36    13.00     0.20     2.330000     2.480000    2.670000        0
   1     0.10   494.36    13.00     0.50     2.500000     2.660000    2.890000        0
   1     0.10   494.36    13.00     1.00     2.690000     2.880000    3.140000        0
   1     0.10   494.36    13.00     2.00     2.970000     3.200000    3.520000        0
   1     0.10   494.36    13.00     5.00     3.570000     3.910000    4.390000        0
   1     0.10   494.36    13.00    10.00     4.350000     4.840000    5.550000        0
   1     0.10   494.36    13.00    20.00     5.630000     6.380000    7.520000        0
   1     0.10   494.36    16.00     0.10     2.360000     2.470000    2.630000        0
   1     0.10   494.36    16.00     0.20     2.440000     2.560000    2.730000        0
   1     0.10   494.36    16.00     0.50     2.610000     2.740000    2.930000        0
   1     0.10   494.36    16.00     1.00     2.790000     2.950000    3.170000        0
   1     0.10   494.36    16.00     2.00     3.070000     3.260000    3.520000        0
   1     0.10   494.36    16.00     5.00     3.650000     3.920000    4.310000        0
   1     0.10   494.36    16.00    10.00     4.400000     4.790000    5.340000        0
   1     0.10   494.36    16.00    20.00     5.640000     6.220000    7.060000        0
   1     0.10   494.36    20.00     0.10     2.480000     2.580000    2.710000        0
   1     0.10   494.36    20.00     0.20     2.570000     2.670000    2.810000        0
   1     0.10   494.36    20.00     0.50     2.730000     2.840000    3.000000        0
   1     0.10   494.36    20.00     1.00     2.910000     3.040000    3.230000        0
   1     0.10   494.36    20.00     2.00     3.180000     3.330000    3.550000        0
   1     0.10   494.36    20.00     5.00     3.750000     3.970000    4.270000        0
   1     0.10   494.36    20.00    10.00     4.480000     4.780000    5.210000        0
   1     0.10   494.36    20.00    20.00     5.690000     6.130000    6.760000        0
   1     0.10   879.11     1.00     0.10     1.080000     4.099573  230.103533        1
   1     0.10   879.11     1.00     0.20     1.180000     5.860429  263.762140        1
   1     0.10   879.11     1.00     0.50     1.330000    34.918806  318.175703        1
   1     0.10   879.11     1.00     1.00     1.500000   194.490742  385.539223        1
   1     0.10   879.11     1.00     2.00     1.740000   233.866743  490.941578        1
   1     0.10   879.11     1.00     5.00     2.220000   319.452522  737.925114        1
   1     0.10   879.11     1.00    10.00     2.800000   435.025519 1100.723337        1
   1     0.10   879.11     1.00    20.00     4.000000   716.378611 2074.945586        1
   1     0.10   879.11     2.00     0.10     1.360000     2.399082   13.631628        1
   1     0.10   879.11     2.00     0.20     1.460000     2.720007   38.321965        1
   1     0.10   879.11     2.00     0.50     1.660000     3.580390  310.233752        1
   1     0.10   879.11     2.00     1.00     1.870000     4.382343  370.034913        1
   1     0.10   879.11     2.00     2.00     2.180000     6.755863  466.750356        1
   1     0.10   879.11     2.00     5.00     2.850000    25.612147  710.148297        1
   1     0.10   879.11     2.00    10.00     3.690000   503.620088 1081.694581        1
   1     0.10   879.11     2.00    20.00     5.030000   753.145737 1827.300961        1
   1     0.10   879.11     3.00     0.10     1.530000     2.230000    4.540000        0
   1     0.10   879.11     3.00     0.20     1.630000     2.443054    5.514235        1
   1     0.10   879.11     3.00     0.50     1.830000     2.933365    9.013564        1
   1     0.10   879.11     3.00     1.00     2.040000     3.447904   17.879796        1
   1     0.10   879.11     3.00     2.00     2.350000     4.466914  427.705979        1
   1     0.10   879.11     3.00     5.00     3.080000     7.880533  639.025079        1
   1     0.10   879.11     3.00    10.00     4.050000    19.370038  977.360312        1
   1     0.10   879.11     3.00    20.00     5.680000    69.540595 1693.786760        1
   1     0.10   879.11     4.00     0.10     1.660000     2.210000    3.550000        0
   1     0.10   879.11     4.00     0.20     1.770000     2.400000    4.060000        0
   1     0.10   879.11     4.00     0.50     1.950000     2.750000    5.190000        0
   1     0.10   879.11     4.00     1.00     2.160000     3.171249    6.975658        1
   1     0.10   879.11     4.00     2.00     2.470000     3.891107   11.491856        1
   1     0.10   879.11     4.00     5.00     3.180000     5.902388  180.178003        1
   1     0.10   879.11     4.00    10.00     4.160000    10.055824  868.905286        1
   1     0.10   879.11     4.00    20.00     5.850000    18.778537 1480.637895        1
   1     0.10   879.11     5.00     0.10     1.760000     2.220000    3.180000        0
   1     0.10   879.11     5.00     0.20     1.870000     2.390000    3.550000        0
   1     0.10   879.11     5.00     0.50     2.050000     2.690000    4.240000        0
   1     0.10   879.11     5.00     1.00     2.250000     3.050000    5.210000        0
   1     0.10   879.11     5.00     2.00     2.560000     3.643062    7.173268        1
   1     0.10   879.11     5.00     5.00     3.250000     5.157913   15.845620        1
   1     0.10   879.11     5.00    10.00     4.200000     7.804108  789.325502        1
   1     0.10   879.11     5.00    20.00     5.860000    12.904576 1304.962018        1
   1     0.10   879.11     6.00     0.10     1.860000     2.250000    3.020000        0
   1     0.10   879.11     6.00     0.20     1.950000     2.400000    3.290000        0
   1     0.10   879.11     6.00     0.50     2.120000     2.670000    3.820000        0
   1     0.10   879.11     6.00     1.00     2.330000     3.000000    4.520000        0
   1     0.10   879.11     6.00     2.00     2.630000     3.510000    5.790000        0
   1     0.10   879.11     6.00     5.00     3.310000     4.784319    9.976459        1
   1     0.10   879.11     6.00    10.00     4.230000     6.809178   23.878789        1
