#1 Gyr,20mbar,,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.36,1.47,1.68,,,,,
2,1.49,1.58,1.73,1.9,2.14,2.72,3.53,
3,1.61,1.68,1.81,1.96,2.17,2.65,3.3,4.4
4,1.7,1.76,1.9,2.03,2.22,2.66,3.24,4.2
5,1.77,1.84,1.97,2.09,2.28,2.69,3.23,4.11
6,1.84,1.91,2.03,2.15,2.33,2.73,3.23,4.07
8,1.95,2.03,2.14,2.26,2.43,2.8,3.28,4.05
10,2.06,2.13,2.23,2.35,2.51,2.87,3.33,4.08
13,2.19,2.25,2.35,2.46,2.62,2.97,3.41,4.14
16,2.3,2.36,2.45,2.56,2.72,3.06,3.49,4.2
20,2.42,2.47,2.57,2.67,2.83,3.16,3.59,4.29
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.6,1.69,1.87,,,,,
3,1.68,1.76,1.91,2.07,2.31,2.85,,
4,1.76,1.83,1.97,2.12,2.33,2.81,3.44,4.5
5,1.83,1.9,2.03,2.17,2.37,2.81,3.38,4.34
6,1.89,1.96,2.09,2.22,2.41,2.83,3.37,4.25
8,1.99,2.07,2.19,2.31,2.49,2.88,3.38,4.19
10,2.09,2.16,2.27,2.39,2.56,2.94,3.41,4.18
13,2.22,2.28,2.38,2.5,2.66,3.02,3.47,4.22
16,2.33,2.38,2.48,2.59,2.75,3.1,3.54,4.27
20,2.45,2.49,2.59,2.7,2.86,3.2,3.63,4.35
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.81,,,,,,,
4,1.86,1.95,2.11,2.27,2.52,,,
5,1.91,1.99,2.14,2.29,2.52,3.02,,
6,1.96,2.05,2.18,2.33,2.54,3,3.6,
8,2.06,2.14,2.26,2.4,2.59,3.01,3.55,4.42
10,2.15,2.23,2.34,2.46,2.65,3.04,3.55,4.36
13,2.27,2.34,2.44,2.56,2.73,3.11,3.58,4.36
16,2.37,2.43,2.53,2.65,2.81,3.17,3.63,4.39
20,2.48,2.53,2.63,2.75,2.91,3.26,3.71,4.45
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,2.18,,,,,,,
8,2.25,2.33,2.47,2.65,,,,
10,2.31,2.38,2.52,2.68,2.9,3.39,,
13,2.4,2.47,2.59,2.73,2.94,3.39,3.97,
16,2.48,2.54,2.66,2.8,2.99,3.42,3.97,4.87
20,2.88,2.63,2.75,2.88,3.06,3.47,3.99,4.86
