#1 Gyr,RCB,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.07,1.15,,,,,,
2,1.32,1.41,1.56,1.72,1.95,,,
3,1.49,1.56,1.71,1.87,2.11,2.63,3.31,
4,1.61,1.68,1.82,1.99,2.22,2.74,3.41,4.53
5,1.7,1.77,1.92,2.08,2.31,2.83,3.49,4.58
6,1.77,1.85,2.01,2.16,2.39,2.9,3.55,4.62
8,1.9,1.99,2.14,2.29,2.52,3.02,3.65,4.69
10,2.01,2.11,2.25,2.4,2.63,3.12,3.74,4.75
13,2.17,2.25,2.38,2.53,2.76,3.24,3.84,4.83
16,2.29,2.36,2.49,2.64,2.86,3.34,3.93,4.91
20,2.42,2.49,2.62,2.77,2.99,3.45,4.05,5.01
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.3,1.38,1.52,,,,,
3,1.46,1.54,1.68,1.84,2.07,,,
4,1.58,1.66,1.8,1.96,2.19,2.69,,
5,1.68,1.75,1.9,2.06,2.28,2.78,3.43,
6,1.76,1.83,1.99,2.14,2.36,2.86,3.5,4.54
8,1.89,1.98,2.12,2.27,2.5,2.99,3.61,4.63
10,2,2.1,2.23,2.38,2.61,3.09,3.7,4.7
13,2.16,2.24,2.37,2.52,2.74,3.21,3.81,4.79
16,2.28,2.35,2.48,2.63,2.85,3.32,3.91,4.87
20,2.41,2.48,2.61,2.76,2.97,3.44,4.02,4.98
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.44,,,,,,,
4,1.56,1.63,1.78,,,,,
5,1.66,1.73,1.88,2.03,,,,
6,1.74,1.82,1.97,2.12,2.35,,,
8,1.87,1.97,2.11,2.26,2.48,2.97,3.59,
10,1.99,2.09,2.22,2.37,2.6,3.08,3.69,4.68
13,2.15,2.23,2.36,2.51,2.73,3.21,3.81,4.78
16,2.28,2.34,2.47,2.62,2.84,3.32,3.91,4.88
20,2.4,2.47,2.6,2.75,2.97,3.44,4.03,4.99
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,1.71,,,,,,,
8,1.88,1.95,2.08,,,,,
10,2,2.07,2.21,2.36,2.6,,,
13,2.15,2.21,2.35,2.51,2.74,3.24,,
16,2.26,2.33,2.47,2.63,2.86,3.36,3.98,
20,2.4,2.47,2.6,2.76,2.99,3.48,4.11,5.13
