#1 Gyr,RCB,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.1,1.18,1.29,,,,,
2,1.34,1.4,1.52,1.64,1.82,2.21,2.74,
3,1.49,1.55,1.66,1.78,1.95,2.33,2.83,3.67
4,1.6,1.66,1.78,1.89,2.06,2.43,2.91,3.71
5,1.69,1.75,1.86,1.98,2.14,2.5,2.97,3.75
6,1.76,1.83,1.94,2.05,2.21,2.57,3.03,3.78
8,1.9,1.97,2.07,2.18,2.34,2.68,3.13,3.85
10,2.02,2.07,2.17,2.28,2.44,2.78,3.21,3.92
13,2.15,2.21,2.3,2.41,2.57,2.9,3.32,4.03
16,2.27,2.33,2.42,2.52,2.68,3.01,3.42,4.12
20,2.4,2.46,2.55,2.66,2.81,3.13,3.55,4.25
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.32,1.38,1.49,,,,,
3,1.47,1.53,1.64,1.76,1.93,2.3,,
4,1.58,1.65,1.76,1.87,2.04,2.4,2.87,3.66
5,1.68,1.74,1.85,1.96,2.12,2.48,2.94,3.7
6,1.75,1.82,1.93,2.04,2.2,2.55,3,3.74
8,1.89,1.95,2.06,2.16,2.32,2.67,3.1,3.82
10,2,2.06,2.16,2.27,2.43,2.76,3.19,3.89
13,2.14,2.2,2.29,2.4,2.55,2.88,3.3,4
16,2.26,2.31,2.4,2.51,2.66,2.98,3.4,4.09
20,2.39,2.43,2.52,2.63,2.78,3.1,3.51,4.2
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.45,,,,,,,
4,1.57,1.63,1.74,1.85,2.02,,,
5,1.66,1.73,1.83,1.94,2.11,2.46,,
6,1.74,1.81,1.91,2.02,2.18,2.53,2.97,
8,1.88,1.94,2.04,2.15,2.31,2.65,3.08,3.8
10,2,2.05,2.15,2.26,2.42,2.75,3.17,3.88
13,2.13,2.19,2.28,2.39,2.54,2.87,3.29,3.98
16,2.25,2.3,2.39,2.5,2.65,2.98,3.39,4.08
20,2.38,2.43,2.52,2.62,2.77,3.09,3.51,4.2
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,1.76,,,,,,,
8,1.9,1.96,2.06,2.18,,,,
10,2.01,2.07,2.17,2.28,2.45,2.81,,
13,2.15,2.2,2.3,2.41,2.58,2.94,3.39,
16,2.26,2.31,2.41,2.52,2.69,3.04,3.49,4.25
20,2.65,2.43,2.53,2.64,2.81,3.15,3.6,4.36
